"id";"impianto_id";"message";"service";"datetime"
"311674";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717250256, ""time_end"": 1717250376, ""doors_operations"": [{""time_start"": 1717250205.9981098, ""time_end"": 1717250265.892, ""duration"": 59.893890142440796, ""a_std_max_x"": 0.027115749669795453, ""a_std_max_y"": 0.020310411362470325, ""a_std_max_z"": 0.0571860328209727, ""floor"": 2.0}, {""time_start"": 1717250267.892, ""time_end"": 1717250335.482, ""duration"": 67.59000015258789, ""a_std_max_x"": 0.05731574447489896, ""a_std_max_y"": 0.023584955183439463, ""a_std_max_z"": 0.06743475216550346, ""floor"": 2.0}]}, ""date"": ""Sat Jun 01 2024 11:59:47 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 13:59:47"
"311583";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717248096, ""time_end"": 1717248216, ""doors_operations"": [{""time_start"": 1717248089.4745498, ""time_end"": 1717248132.9173498, ""duration"": 43.44280004501343, ""a_std_max_x"": 0.10439112577317362, ""a_std_max_y"": 0.05286353186875048, ""a_std_max_z"": 0.24794305770498334, ""floor"": 2.0}]}, ""date"": ""Sat Jun 01 2024 11:23:47 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 13:23:47"
"311368";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717242696, ""time_end"": 1717242816, ""doors_operations"": [{""time_start"": 1717242671.85139, ""time_end"": 1717242678.4315498, ""duration"": 6.580159902572632, ""a_std_max_x"": 0.10203649601353283, ""a_std_max_y"": 0.05526087677334316, ""a_std_max_z"": 0.23856809975886217, ""floor"": 2.0}]}, ""date"": ""Sat Jun 01 2024 09:53:48 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 11:53:48"
"311340";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717241856, ""time_end"": 1717241976, ""doors_operations"": [{""time_start"": 1717241797.54211, ""time_end"": 1717241862.878, ""duration"": 65.33589005470276, ""a_std_max_x"": 0.0695870218314383, ""a_std_max_y"": 0.05672445621418079, ""a_std_max_z"": 0.1683247352174695, ""floor"": 5.0}]}, ""date"": ""Sat Jun 01 2024 09:39:50 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 11:39:50"
"311335";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717241736, ""time_end"": 1717241856, ""doors_operations"": [{""time_start"": 1717241622.6563098, ""time_end"": 1717241745.5740001, ""duration"": 122.91769027709961, ""a_std_max_x"": 0.0361854512272706, ""a_std_max_y"": 0.035574755242587006, ""a_std_max_z"": 0.06616078042924363, ""floor"": 5.0}]}, ""date"": ""Sat Jun 01 2024 09:37:49 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 11:37:49"
"311190";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717237896, ""time_end"": 1717238016, ""doors_operations"": [{""time_start"": 1717237913.34387, ""time_end"": 1717237915.6244297, ""duration"": 2.280559778213501, ""a_std_max_x"": 0.018239520289376577, ""a_std_max_y"": 0.02143066710214196, ""a_std_max_z"": 0.05337060714270825, ""floor"": 5.0}]}, ""date"": ""Sat Jun 01 2024 08:33:49 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 10:33:49"
"311180";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717237656, ""time_end"": 1717237776, ""doors_operations"": [{""time_start"": 1717237748.5481496, ""time_end"": 1717237749.6006298, ""duration"": 1.0524802207946777, ""a_std_max_x"": 0.01774599879970234, ""a_std_max_y"": 0.019454238600634367, ""a_std_max_z"": 0.045753246695863836, ""floor"": 5.0}]}, ""date"": ""Sat Jun 01 2024 08:29:48 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 10:29:48"
"311157";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717237176, ""time_end"": 1717237296, ""doors_operations"": [{""time_start"": 1717237190.2951498, ""time_end"": 1717237195.1194298, ""duration"": 4.824280023574829, ""a_std_max_x"": 0.10179880054630457, ""a_std_max_y"": 0.06191501167536997, ""a_std_max_z"": 0.2504568801319737, ""floor"": 5.0}, {""time_start"": 1717237205.2091098, ""time_end"": 1717237211.0879898, ""duration"": 5.878880023956299, ""a_std_max_x"": 0.05717629788653958, ""a_std_max_y"": 0.05065591391709574, ""a_std_max_z"": 0.1726246501957077, ""floor"": 5.0}]}, ""date"": ""Sat Jun 01 2024 08:21:47 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 10:21:47"
"311128";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717236576, ""time_end"": 1717236696, ""doors_operations"": [{""time_start"": 1717236663.7247899, ""time_end"": 1717236664.6016698, ""duration"": 0.8768799304962158, ""a_std_max_x"": 0.017290229240406844, ""a_std_max_y"": 0.023570997387723384, ""a_std_max_z"": 0.051273287418689674, ""floor"": 5.0}]}, ""date"": ""Sat Jun 01 2024 08:11:47 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 10:11:47"
"311070";"4674";"{""service"": ""DM"", ""system"": ""L0024T00001"", ""data"": {""time_start"": 1717235256, ""time_end"": 1717235376, ""doors_operations"": [{""time_start"": 1717235304.9784298, ""time_end"": 1717235310.9439898, ""duration"": 5.965559959411621, ""a_std_max_x"": 0.06916488639326751, ""a_std_max_y"": 0.06309130598393352, ""a_std_max_z"": 0.15042548502543607, ""floor"": 5.0}]}, ""date"": ""Sat Jun 01 2024 07:49:48 GMT -0200"", ""type"": ""info""}";"DM";"2024-06-01 09:49:48"
